PLGDN;26.04.2005;10:00:00;GBSUL;BRAVERY;Marshall Islands;8919075;V7DX7;58091;246.76;Polfracht Shipping Agency Ltd. ;"BPPP JETTY "" R """
PLGDN;27.04.2005;09:30:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;01.05.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;04.05.2005;12:30:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECINSKIE - GTK
PLGDN;09.05.2005;06:00:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;15.05.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.00;DFDS SEAWAYS Sp. z o. o.;Westerplatte
PLGDN;15.05.2005;21:30:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;22.05.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;23.05.2005;06:00:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;29.05.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;30.05.2005;16:45:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;02.06.2005;19:00:00;FIPRV;MOSTRAUM;Norway;8023773;LAUV4;5973;129.65;Polfracht Shipping Agency Ltd. ;SPODZIEWANY
PLGDN;04.06.2005;22:30:00;LVVNT;MATALOBOS;Latvia;7111690;YLAI;878;57.87;Oktan Energy & V/L Service;OPP
PLGDN;05.06.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;05.06.2005;11:00:00;RULED;KLENODEN;Finland;8917730;OJDD;3828;103.50;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;12.06.2005;19:15:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;13.06.2005;05:00:00;RULED;KLENODEN;Finland;8917730;OJDD;3828;103.50;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;19.06.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;21.06.2005;01:15:00;RULED;PETSAMO;Finland;7517545;OJDD;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
PLGDN;26.06.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;27.06.2005;08:00:00;RULED;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECINSKIE - GTK
PLGDN;03.07.2005;19:00:00;LTKLJ;KAUNAS;Lithuania;8311924;LYAG;25606;190.90;DFDS SEAWAYS Sp. z o. o.;WESTERPLATTE
PLGDN;04.07.2005;06:00:00;FIHEL;PETSAMO;Finland;7517545;OIZH;2356;84.28;Cargo Service Co. Ltd Gdañsk;NAB. SZCZECIÑSKIE - GTK
