Kod portu;Data przybycia;Godzina przybycia;Kod portu, z którego jednostka przyp³ynê³a;Nazwa statku;Bandera;nr IMO;Sygna³ wywo³awczy;Pojemnoœæ brutto;D³ugoœæ;Agent;Nabrze¿e (miejsce zacumowania)
PLPLC;2011-03-06;19:40:00;SYTTS;ZIEMIA GORNOSLASKA;Liberia;8418734;A8DP3;17427;180.17;POLSTEAM SHIPPING AGENCY Ltd.;Police - port morski
PLPLC;2011-03-07;10:30:00;PLSZZ;ROMANKA;Poland;8026440;SQLT;997;64.00;Ship-Service S.A.;nab. cal
PLPLC;2011-03-08;18:50:00;LTKLJ;VOLGOBALT 244;Russian Federation;8230584;UAKW;2457;114.00;Trans Baltic Spó³ka Cywilna;Port Barkowy Police
PLPLC;2011-03-09;17:00:00;LTKLJ;SABINE;Saint Vincent and the Grenadines;7101891;J8TB2;2478;114.00;KEYTRADE;Port Barkowy
PLPLC;2011-03-12;03:10:00;NO888;EDMY;Norway;7926409;LAZJ5;2768;85.86;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2011-03-12;21:20:00;MACAS;ROZTOCZE;Bahamas;9346835;C6WU3;24109;189.98;POLSTEAM SHIPPING AGENCY Ltd.;Police M
PLPLC;2011-03-13;19:00:00;LVVNT;OMSKIY 141;Russian Federation;8873764;UGZK;2460;108.40;Wilhelmsen Ships Service Polska Sp. z o.o. ;Police Port Barkowy
PLPLC;2011-03-13;13:30:00;PLSZZ;CLARITY;Saint Vincent and the Grenadines;8012815;J8B2780;935;69.90;BALTUS SHIPPING;PORT BARKOWY
PLPLC;2011-03-14;09:30:00;NOTSX;VISNES;Gibraltar;7928251;ZDJS2;3136;94.00;NEPTUNE AGENCY Sp. z o.o. ;PORT MORSKI
PLPLC;2011-03-15;11:00:00;LVVNT;OMSKIY 135;Russian Federation;8881723;UIWY;2528;108.40;Trans Baltic Spó³ka Cywilna;Port Barkowy
PLPLC;2011-03-17;22:00:00;LTKLJ;OMSKIY-140;Russian Federation;8867052;UANX;2470;108.36;Wilhelmsen Ships Service Polska Sp. z o.o. ;port barkowy Police
PLPLC;2011-03-18;20:10:00;DEFLF;MERMAID;Gibraltar;8504181;ZDHW7;1856;80.70;Unibaltic Sp. z o.o.;POLICE PORT MORSKI
PLPLC;2011-03-18;17:00:00;PLSZZ; PALICA;Poland;7704057;SQIS;999;60.00;Ship-Service S.A.;PORT MORSKI
PLPLC;2011-03-18;16:45:00;GRPIR;WESTON;Gibraltar;7410814;ZDIM6;12400;159.16;INTERAGENT Sp. z o.o.;PORT MORSKI POLICE
PLPLC;2011-03-19;13:30:00;DKAAL;VIA;Sweden;6705298;SLDY;1220;68.08;Unibaltic Sp. z o.o.;POLICE PORT MORSKI
